,cusip,date,bond_ret_truncated,bond_ret_ice,bond_ret_trace,true_bond_ret
291,86703QBJ9,2009-03-31,1.0,,1.397223358196719,1.397223358196719
292,86703QBN0,2009-03-31,1.0,,1.3497999753903325,1.3497999753903325
293,001920AB3,2009-04-30,1.0,,1.2533717565311135,1.2533717565311135
294,01903QAB4,2009-04-30,1.0,0.8172799999999999,1.03666874433198,0.8172799999999999
295,117043AG4,2009-04-30,1.0,0.20074999999999998,1.3142116856608559,0.20074999999999998
296,121579AB2,2009-04-30,1.0,1.09819,1.0740225484341288,1.09819
297,29444VAD6,2009-04-30,1.0,,1.2981952486992587,1.2981952486992587
298,345370BW9,2009-04-30,1.0,0.57553,1.0352445061879305,0.57553
299,34539CPW6,2009-04-30,1.0,,1.732117684199174,1.732117684199174
300,34539CQC9,2009-04-30,1.0,,1.5034945741149022,1.5034945741149022
301,34539CRV6,2009-04-30,1.0,,1.134214625845728,1.134214625845728
302,34539CXG2,2009-04-30,1.0,,1.2030274486004757,1.2030274486004757
303,35687MAK3,2009-04-30,1.0,1.00696,1.0590628005073774,1.00696
304,37042G2T2,2009-04-30,1.0,,1.0129500223292474,1.0129500223292474
305,37042GK54,2009-04-30,1.0,,1.5443448410896563,1.5443448410896563
306,37042GRK4,2009-04-30,1.0,,1.0034423819615268,1.0034423819615268
307,3704A0D58,2009-04-30,1.0,,1.1711061732447152,1.1711061732447152
308,552953AE1,2009-04-30,1.0,2.62259,1.7807372774574477,2.62259
309,562567AF4,2009-04-30,1.0,,1.778902680472619,1.778902680472619
310,59018YL90,2009-04-30,1.0,,1.3223409294294173,1.3223409294294173
311,608328AK6,2009-04-30,1.0,1.2259900000000001,1.1916189680822862,1.2259900000000001
312,608328AP5,2009-04-30,1.0,1.16199,1.2662120221570277,1.16199
313,608328AR1,2009-04-30,1.0,0.99785,1.4079838871786396,0.99785
314,63858SAA7,2009-04-30,1.0,,1.174362683293221,1.174362683293221
315,656559BG5,2009-04-30,1.0,1.18677,1.183343777619379,1.18677
316,767754AD6,2009-04-30,1.0,2.11437,1.5493770176683936,2.11437
317,767754BM5,2009-04-30,1.0,1.38762,1.3783533361780218,1.38762
318,767754BQ6,2009-04-30,1.0,1.2422499999999999,1.2235159296600375,1.2422499999999999
319,767754BT0,2009-04-30,1.0,1.23237,1.2004586630019012,1.23237
320,909214BL1,2009-04-30,1.0,0.9270900000000001,1.1876245916503698,0.9270900000000001
321,053773AE7,2009-05-31,1.0,1.36293,1.2862290667799594,1.36293
322,053773AF4,2009-05-31,1.0,1.32458,1.250016554499155,1.32458
323,36186CAD5,2009-05-31,1.0,1.8917599999999999,1.3794914187024774,1.8917599999999999
324,36186CAE3,2009-05-31,1.0,1.57483,2.246714242445743,1.57483
325,37042F3Y2,2009-05-31,1.0,,1.1617848567967792,1.1617848567967792
326,37042G2F2,2009-05-31,1.0,,1.1780337906480665,1.1780337906480665
327,37042G3E4,2009-05-31,1.0,,1.2583363860051517,1.2583363860051517
328,37042G5L6,2009-05-31,1.0,,1.052081542590487,1.052081542590487
329,37042GH90,2009-05-31,1.0,,1.3616634613635905,1.3616634613635905
330,37042GM78,2009-05-31,1.0,,1.0010616379099804,1.0010616379099804
331,37042GV52,2009-05-31,1.0,,1.1243829689271667,1.1243829689271667
332,37042GY59,2009-05-31,1.0,,1.1587768348321863,1.1587768348321863
333,37042GYT7,2009-05-31,1.0,,1.070190420670021,1.070190420670021
334,3704A0BC5,2009-05-31,1.0,,1.0144915086611002,1.0144915086611002
335,3704A0BY7,2009-05-31,1.0,,1.1153728644165932,1.1153728644165932
336,3704A0CM2,2009-05-31,1.0,,1.0131239430088521,1.0131239430088521
337,3704A0FA5,2009-05-31,1.0,,1.0975618072939135,1.0975618072939135
338,3704A0PD8,2009-05-31,1.0,,1.0233156587925516,1.0233156587925516
339,3704A0YF3,2009-05-31,1.0,,1.006891348145099,1.006891348145099
340,390568AA1,2009-05-31,1.0,,1.1448873098482355,1.1448873098482355
341,499040AH6,2009-05-31,1.0,0.68542,1.236726250039319,0.68542
342,60462EAE4,2009-05-31,1.0,1.1863299999999999,1.1182022957665732,1.1863299999999999
343,89855VAB6,2009-05-31,1.0,1.27896,1.552531491682408,1.27896
344,92336GAF3,2009-06-30,1.0,,1.4869606448914994,1.4869606448914994
345,925335AP6,2009-06-30,1.0,,1.045860369537316,1.045860369537316
346,488044AB4,2009-07-31,1.0,,1.0929421454292552,1.0929421454292552
347,02406PAE0,2009-08-31,1.0,1.07131,1.0123745950368628,1.07131
348,02406PAF7,2009-08-31,1.0,1.03899,1.0035720689298853,1.03899
349,373200AJ3,2009-08-31,1.0,,2.9392264810213184,2.9392264810213184
350,001920AB3,2009-09-30,1.0,,1.007976854882451,1.007976854882451
351,001920AD9,2009-09-30,1.0,,1.0924805519892868,1.0924805519892868
352,004398AE3,2009-09-30,1.0,1.9,1.2960213143957837,1.9
353,499040AP8,2009-09-30,1.0,0.63847,1.1366364063877559,0.63847
